"Nazwa kierunku","Egzaminy zawodowe","Uwzględniany (tylko w P2, czy w P1 lub P2?)"
"Automatyka i Robotyka","['Technik automatyk (311909)', 'Technik automatyk sterowania ruchem kolejowym (311407)', 'Technik elektroautomatyk okrętowy (315106)', 'Technik elektroenergetyk transportu szynowego (311302)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik energetyk (311307)', 'Technik fotografii i multimediów (343105)', 'Technik informatyk (351203)', 'Technik logistyk (333107)', 'Technik mechatronik (311410)', 'Technik pojazdów kolejowych (311518)', 'Technik pojazdów samochodowych (311513)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik szerokopasmowej komunikacji elektronicznej (311412)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik transportu drogowego (311927)', 'Technik transportu kolejowego (311928)', 'Technik urządzeń i systemów energetyki odnawialnej (311930)']","['P2']"
"Elektronika","['Technik automatyk (311909)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik energetyk (311307)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik szerokopasmowej komunikacji elektronicznej (311412)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)']","['P2']"
"Elektronika i Telekomunikacja / Electronics and Telecommunications","['Technik automatyk (311909)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik energetyk (311307)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik szerokopasmowej komunikacji elektronicznej (311412)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)']","['P2']"
"Elektrotechnika","['Technik automatyk (311909)', 'Technik automatyk sterowania ruchem kolejowym (311407)', 'Technik elektroautomatyk okrętowy (315106)', 'Technik elektroenergetyk transportu szynowego (311302)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik energetyk (311307)', 'Technik informatyk (351203)', 'Technik logistyk (333107)', 'Technik mechatronik (311410)', 'Technik pojazdów kolejowych (311518)', 'Technik pojazdów samochodowych (311513)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik szerokopasmowej komunikacji elektronicznej (311412)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik transportu drogowego (311927)', 'Technik transportu kolejowego (311928)', 'Technik urządzeń i systemów energetyki odnawialnej (311930)']","['P1', 'P2']"
"Mikroelektronika w Technice i Medycynie","['Technik automatyk (311909)', 'Technik elektroautomatyk okrętowy (315106)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik tyfloinformatyk (351204)']","['P1', 'P2']"
"Technologie Przemysłu 4.0","['Technik automatyk (311909)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)']","['P1', 'P2']"
"Informatyka i Ekonometria","['Technik ekonomista (331403)', 'Technik informatyk (351203)', 'Technik programista (351406)']","['P2']"
"Computer Science","['Technik automatyk (311909)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik fotografii i multimediów (343105)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik tyfloinformatyk (351204)']","['P1', 'P2']"
"Informatyka i Systemy Inteligentne","['Technik automatyk (311909)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik fotografii i multimediów (343105)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik tyfloinformatyk (351204)']","['P2']"
"Informatyka Medyczna","['Technik automatyk (311909)', 'Technik ceramik (311944)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik informatyk (351203)', 'Technik mechatronik (311410)', 'Technik programista (351406)', 'Technik szerokopasmowej komunikacji elektronicznej (311412)', 'Technik technologii szkła (311925)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik tyfloinformatyk (351204)']","['P1', 'P2']"
"Inżynieria Biomedyczna","['Technik automatyk (311909)', 'Technik elektromobilności (311519)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik informatyk (351203)', 'Technik masażysta (325402)', 'Technik mechatronik (311410)', 'Technik ortopeda (321403)', 'Technik programista (351406)', 'Technik robotyk (311413)', 'Technik technologii chemicznej (311603)', 'Technik teleinformatyk (351103)', 'Technik telekomunikacji (352203)', 'Technik tyfloinformatyk (351204)']","['P1', 'P2']"
"Ceramika","['Technik analityk (311103)', 'Technik automatyk (311909)', 'Technik ceramik (311944)', 'Technik gospodarki odpadami (325515)', 'Technik ochrony środowiska (325511)', 'Technik programista (351406)', 'Technik technologii chemicznej (311603)', 'Technik technologii szkła (311925)']","['P2']"
"Komputerowo Wspomagana Inżynieria Materiałów Budowlanych","['Technik analityk (311103)', 'Technik automatyk (311909)', 'Technik budownictwa (311204)', 'Technik budownictwa kolejowego (311220)', 'Technik budowy dróg (311216)', 'Technik ceramik (311944)', 'Technik elektronik (311408)', 'Technik gospodarki odpadami (325515)', 'Technik informatyk (351203)', 'Technik ochrony środowiska (325511)', 'Technik programista (351406)', 'Technik przeróbki kopalin stałych (311706)', 'Technik robót wykończeniowych w budownictwie (311219)', 'Technik technologii chemicznej (311603)', 'Technik technologii szkła (311925)', 'Technik teleinformatyk (351103)']","['P2']"
"Nowoczesne Technologie Paliwowe","['Technik analityk (311103)', 'Technik ceramik (311944)', 'Technik gazownictwa (311913)', 'Technik górnictwa odkrywkowego (311701)', 'Technik górnictwa otworowego (311702)', 'Technik górnictwa podziemnego (311703)', 'Technik inżynierii środowiska i melioracji (311208)', 'Technik ochrony środowiska (325511)', 'Technik podziemnej eksploatacji kopalin innych niż węgiel kamienny (311709)', 'Technik przeróbki kopalin stałych (311706)', 'Technik technologii chemicznej (311603)']","['P2']"
"Technologia Chemiczna","['Technik analityk (311103)', 'Technik budownictwa (311204)', 'Technik ceramik (311944)', 'Technik gospodarki odpadami (325515)', 'Technik inżynierii środowiska i melioracji (311208)', 'Technik ochrony środowiska (325511)', 'Technik programista (351406)', 'Technik przeróbki kopalin stałych (311706)', 'Technik technologii chemicznej (311603)', 'Technik technologii szkła (311925)']","['P2']"
"Budownictwo","['Technik budownictwa (311204)', 'Technik budownictwa kolejowego (311220)', 'Technik budownictwa wodnego (311205)', 'Technik budowy dróg (311216)', 'Technik ekonomista (331403)', 'Technik geodeta (311104)', 'Technik renowacji elementów architektury (311210)', 'Technik robót wykończeniowych w budownictwie (311219)', 'Technik technologii drewna (311922)', 'Technik urządzeń i systemów energetyki odnawialnej (311930)']","['P2']"
"Geodezja i Kartografia","['Technik agrobiznesu (331402)', 'Technik analityk (311103)', 'Technik architektury krajobrazu (314202)', 'Technik budownictwa (311204)', 'Technik budownictwa kolejowego (311220)', 'Technik budownictwa wodnego (311205)', 'Technik budowy dróg (311216)', 'Technik dróg kolejowych i obiektów inżynieryjnych (311217)', 'Technik ekonomista (331403)', 'Technik geodeta (311104)', 'Technik geolog (311106)', 'Technik górnictwa odkrywkowego (311701)', 'Technik górnictwa podziemnego (311703)', 'Technik informatyk (351203)', 'Technik leśnik (314301)', 'Technik ochrony środowiska (325511)', 'Technik podziemnej eksploatacji kopalin innych niż węgiel kamienny (311709)', 'Technik programista (351406)', 'Technik transportu drogowego (311927)']","['P1', 'P2']"
"Informatyka Geoprzestrzenna","['Technik agrobiznesu (331402)', 'Technik analityk (311103)', 'Technik architektury krajobrazu (314202)', 'Technik budownictwa (311204)', 'Technik budownictwa kolejowego (311220)', 'Technik budownictwa wodnego (311205)', 'Technik budowy dróg (311216)', 'Technik dróg kolejowych i obiektów inżynieryjnych (311217)', 'Technik ekonomista (331403)', 'Technik geodeta (311104)', 'Technik geolog (311106)', 'Technik górnictwa odkrywkowego (311701)', 'Technik górnictwa podziemnego (311703)', 'Technik informatyk (351203)', 'Technik leśnik (314301)', 'Technik ochrony środowiska (325511)', 'Technik podziemnej eksploatacji kopalin innych niż węgiel kamienny (311709)', 'Technik programista (351406)', 'Technik transportu drogowego (311927)']","['P1', 'P2']"
"Rewitalizacja Terenów Zdegradowanych","['Technik architektury krajobrazu (314202)', 'Technik geodeta (311104)', 'Technik geolog (311106)', 'Technik gospodarki odpadami (325515)', 'Technik górnictwa odkrywkowego (311701)', 'Technik górnictwa otworowego (311702)', 'Technik górnictwa podziemnego (311703)', 'Technik inżynierii środowiska i melioracji (311208)', 'Technik leśnik (314301)', 'Technik ochrony środowiska (325511)', 'Technik organizacji turystyki (422104)', 'Technik podziemnej eksploatacji kopalin innych niż węgiel kamienny (311709)', 'Technik przeróbki kopalin stałych (311706)', 'Technik turystyki na obszarach wiejskich (515205)', 'Technik turystyki wiejskiej (515203)']","['P2']"
"Edukacja Techniczno-Informatyczna","['Technik automatyk (311909)', 'Technik ceramik (311944)', 'Technik elektronik (311408)', 'Technik elektryk (311303)', 'Technik energetyk (311307)', 'Technik hutnik (311704)', 'Technik informatyk (351203)', 'Technik mechanik (311504)', 'Technik mechanik lotniczy (315317)', 'Technik mechatronik (311410)', 'Technik odlewnik (311705)', 'Technik pojazdów samochodowych (311513)', 'Technik przemysłu metalurgicznego (311708)', 'Technik spawalnictwa (311516)', 'Technik technologii chemicznej (311603)', 'Technik teleinformatyk (351103)']","['P2']"
