"Nazwa kierunku","P1","P2"
"Automatyka i Robotyka","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Elektronika","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Elektronika i Telekomunikacja / Electronics and Telecommunications","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Elektrotechnika","['matematyka', 'fizyka', 'informatyka', 'język obcy']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Mikroelektronika w Technice i Medycynie","['matematyka', 'fizyka', 'informatyka', 'język obcy']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Technologie Przemysłu 4.0","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Informatyka i Ekonometria","['matematyka', 'fizyka', 'chemia', 'informatyka']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'język obcy']"
"Computer Science","['matematyka', 'fizyka', 'informatyka', 'język obcy']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Cyberbezpieczeństwo","['matematyka', 'fizyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Informatyka","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka']"
"Informatyka – Zarządzanie Bezpieczeństwem Informacji","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka']"
"Informatyka i Systemy Inteligentne","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Informatyka Stosowana","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka']"
"Informatyka Techniczna","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka']"
"Inżynieria Obliczeniowa","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'informatyka']"
"Nowoczesne Technologie w Kryminalistyce","['matematyka', 'fizyka', 'chemia', 'informatyka']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'język obcy']"
"Teleinformatyka","['matematyka', 'fizyka']","['matematyka', 'fizyka', 'informatyka', 'język obcy']"
"Tworzenie Przestrzeni Wirtualnych i Gier","['matematyka', 'fizyka', 'informatyka', 'historia sztuki', 'język polski']","['matematyka', 'fizyka', 'informatyka', 'historia sztuki', 'język polski']"
"Informatyka Medyczna","['matematyka', 'fizyka', 'informatyka']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Inżynieria Biomedyczna","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Ceramika","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Komputerowo Wspomagana Inżynieria Materiałów Budowlanych","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Nowoczesne Technologie Paliwowe","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Technologia Chemiczna","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Budownictwo","['matematyka', 'fizyka', 'chemia', 'informatyka']","['matematyka', 'fizyka', 'chemia', 'informatyka']"
"Geodezja i Kartografia","['matematyka', 'fizyka', 'informatyka', 'geografia']","['matematyka', 'fizyka', 'informatyka', 'geografia', 'język obcy']"
"Informatyka Geoprzestrzenna","['matematyka', 'fizyka', 'informatyka', 'geografia', 'język obcy']","['matematyka', 'fizyka', 'informatyka', 'geografia', 'język obcy']"
"Rewitalizacja Terenów Zdegradowanych","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Edukacja Techniczno-Informatyczna","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Ekoprojektowanie i Cyfryzacja Technologii Materiałowych","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Inżynieria Materiałowa","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Inżynieria Metali","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Inżynieria Metali Nieżelaznych","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Inżynieria Procesów Przemysłowych","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'język obcy']"
"Inżynieria Produkcji i Jakości","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Komputerowe Wspomaganie Procesów Inżynierskich","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Recycling i Metalurgia (studia niestacjonarne)","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'biologia', 'geografia', 'język obcy']"
"Tworzywa i Technologie Motoryzacyjne","['matematyka', 'fizyka', 'chemia', 'informatyka', 'geografia', 'język obcy']","['matematyka', 'fizyka', 'chemia', 'informatyka', 'geografia', 'język obcy']"
