"Nazwa kierunku","Tryb studiów","Liczba podań / liczba miejsc","Próg punktowy (Cykl 1)","Próg punktowy (Cykl 2)","Próg punktowy (Cykl 3)","Próg punktowy (Cykl 4)","Próg punktowy (Cykl 5)"
"Automatyka i Robotyka","stacjonarne","882/150","959","951","948","948","947"
"Computer Science","stacjonarne","43/30","600","527","412","814","814"
"Elektrotechnika","stacjonarne","436/120","600","550","502","964","506"
"Informatyka i Systemy Inteligentne","stacjonarne","696/120","971","977","970","975","995"
"Informatyka Medyczna","stacjonarne","170/60","770","641","511","695","689"
"Inżynieria Biomedyczna","stacjonarne","509/120","825","743","703","701","760"
"Mikroelektronika w Technice i Medycynie","stacjonarne","199/60","770","980","879","812","900"
"Energetyka","stacjonarne","486/90","500","398","357","324","404"
"Energetyka Odnawialna i Zarządzanie Energią","stacjonarne","317/60","701","nie rankingowano z powodu braku miejsc","rekrutacja zakończona","rekrutacja zakończona","rekrutacja zakończona"
"Nowoczesne Technologie Paliwowe","stacjonarne","49/30","417","341","381","700","654"
"Technologia Chemiczna","stacjonarne","195/160","408","422","380","363","405"
"Computer Physics","stacjonarne","54/30","702","670","736","660","916"
"Fizyka Medyczna","stacjonarne","128/60","594","496","573","491","764"
"Fizyka Techniczna","stacjonarne","269/120","875","803","720","641","rekrutacja zakończona"
"Informatyka Stosowana","stacjonarne","381/60","905","857","896","913","829"
"Mikro- i Nanotechnologie w Biofizyce","stacjonarne","93/30","715","671","601","502","700"
"Nanoinżynieria Materiałów","stacjonarne","147/30","826","722","856","800","rekrutacja zakończona"
"Geodezja i Kartografia","stacjonarne","456/150","600","560","360","578","324"
"Informatyka Geoprzestrzenna","stacjonarne","137/90","451","406","325","328","334"
"Inżynieria i Monitoring Środowiska","stacjonarne","82/60","300","348","359","318","587"
"Ekologiczne Źródła Energii","stacjonarne","175/45","700","422","310","656","320"
"Geofizyka","stacjonarne","47/15","535","408","432","nie rankingowano","795"
"Geoinformatyka","stacjonarne","189/45","845","638","589","578","814"
"Geologia Stosowana","stacjonarne","156/45","806","712","910","507","366"
"Geoturystyka","stacjonarne","101/45","549","396","832","352","563"
"Inżynieria i Analiza Danych","stacjonarne","565/60","978","966","956","990","990"
"Inżynieria i Ochrona Środowiska","stacjonarne","168/45","630","317","688","591","342"
"Informatyka Społeczna","stacjonarne","196/72","807","664","601","841","824"
"Kulturoznawstwo","stacjonarne","94/72","507","408","497","319","842"
"Socjologia","stacjonarne","137/72","608","426","471","377","627"
"Informatyka","stacjonarne","719/200","884","854","900","rekrutacja zakończona","rekrutacja zakończona"
"Informatyka - Zarządzanie Bezpieczeństwem Informacji","stacjonarne","279/50","820","814","800","rekrutacja zakończona","rekrutacja zakończona"
"Tworzenie Przestrzeni Wirtualnych i Gier","stacjonarne","398/40","876","831","786","783","rekrutacja zakończona"
"Cyberbezpieczeństwo","stacjonarne","737/45","978","977","990","rekrutacja zakończona","rekrutacja zakończona"
"Electronics and Telecommunications","stacjonarne","51/24","513","502","500","500","544"
"Elektronika","stacjonarne","262/60","730","624","602","586","rekrutacja zakończona"
"Elektronika i Telekomunikacja","stacjonarne","386/120","701","572","553","550","620"
"Nowoczesne Technologie w Kryminalistyce","stacjonarne","285/60","751","670","719","675","rekrutacja zakończona"
"Teleinformatyka","stacjonarne","207/75","744","752","721","795","860"
"Budownictwo","stacjonarne","675/150","469","400","352","400","422"
"Inżynieria Górnicza","stacjonarne","44/15","323","343","512","410","410"
"Inżynieria i Zarządzanie Procesami Przemysłowymi","stacjonarne","360/120","353","365","348","390","412"
"Inżynieria Kształtowania Środowiska","stacjonarne","130/60","308","300","301","502","470"
"Rewitalizacja Terenów Zdegradowanych","stacjonarne","71/30","323","331","382","527","648"
"Ceramika","stacjonarne","75/24","377","396","827","920","765"
