"Tabela","Kontekst / Grupa docelowa","Cykl rekrutacyjny","Etap rekrutacji","Termin","Uwagi / Przypisy"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","1","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.06 – 11.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","1","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 9.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","1","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","13.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","1","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","14.07 – 18.07 (sobota)",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","2","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","13.07 (po godzinie 15:00) – 18.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","2","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 16.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","2","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","20.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","2","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","21.07 – 23.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","3","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","21.07 (po godzinie 15:00) – 23.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","3","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 22.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","3","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","24.07",""
